Name,Surname,Age,Gender,Daily Hours in Game,Game,Rating,Country
Mario,Phillips,13,Male,3.4,Lakers versus Celtics and the NBA Playoffs,3,Kyrgyzstan
Lukas,Roberts,18,Male,3.8,NASCAR SimRacing,2,Poland
Fabio,Rodriguez,15,Male,3.9,The Sims 3: University Life,3,Italy
Simon,Green,14,Male,3.2,Marble Madness,4,Moldova
Liam,Kelly,15,Male,3.3,Championship Bass,4,Malta
Tim,Robinson,15,Male,3.1,Darkspore,4,Slovakia
Tim,Robinson,18,Male,3.3,It Takes Two,4,Turkmenistan
Oskar,Allen,12,Male,3.6,Tiger Woods PGA Tour 07,2,Norway
Emil,King,13,Male,3.0,Galidor: Defenders of the Outer Dimension,5,Ireland
Sofia,Rogers,13,Female,3.5,Beetle Adventure Racing!,3,Bulgaria
Lukas,Perez,15,Male,3.0,Tiger Woods PGA Tour 2004,4,Slovenia
Mattias,Jackson,14,Male,3.0,Mass Effect Infiltrator,2,Latvia
Rafael,Mitchell,15,Male,3.7,Fatal Rewind,4,Tajikistan
Florian,Cook,32,Male,3.1,Tiger Woods PGA Tour 10,3,United States
Anton,Perez,16,Male,4.0,Madden NFL 08,3,United States
Aria,Cruz,14,Female,3.0,FIFA 07,3,Sweden
Noah,Stewart,17,Male,4.0,Spy Mouse,4,Montenegro
Levin,Edwards,16,Male,4.0,Super Mega Baseball 4,4,Germany
Alex,Murphy,18,Male,3.3,Battlefield 4,3,Monaco
Emil,Gomez,16,Male,3.0,Loaded[n],4,Monaco
Marco,Gomez,14,Male,3.0,Triple Play 2001,3,Portugal
Nico,Nguyen,17,Male,3.7,The Bard's Tale,4,Turkmenistan
Eva,Rodriguez,13,Female,4.0,SSX Tricky,4,Portugal
Jasper,Mitchell,19,Male,3.9,FIFA 22,1,Russia
Marvin,Rodriguez,17,Male,3.2,007: Everything or Nothing,3,Russia
Benedikt,Brown,14,Male,3.4,Madden NFL 10,3,Slovenia
Benedikt,Cooper,15,Male,3.4,The Lord of the Rings: The Third Age,3,Italy
Raphael,Bailey,15,Male,4.0,Dead Space,4,Kyrgyzstan
Elias,Davis,16,Male,3.4,The F.A. Premier League Football Manager 2000,5,Netherlands
Eva,Collins,18,Female,3.3,Risky Woods,1,Ireland
Christian,Lewis,15,Male,3.4,Madden NFL 08,4,North Macedonia
Karl,Adams,14,Male,3.8,F-16 Combat Pilot[f],3,North Macedonia
Christian,Cruz,17,Male,4.0,Tiger Woods PGA Tour 11,3,Russia
Markus,Peterson,15,Male,3.8,Tiger Woods PGA Tour 2005,3,Finland
Dominic,Turner,16,Male,3.6,The Sims 4: Cottage Living,3,Iceland
Anton,Perez,46,Male,4.0,FIFA 08,4,Denmark
Antonio,Reed,13,Male,3.7,PGA Tour 98,2,Latvia
Paul,Morgan,59,Male,3.3,The Biggest Names the Best Games,3,Russia
Sam,Scott,14,Male,3.0,NBA Jam,4,Canada
Antonio,Cooper,14,Male,4.0,Madden NFL 2001,4,Moldova
Christian,Flores,13,Male,4.0,FIFA 13,3,Canada
Valentin,Nelson,16,Male,3.0,One on One: Dr. J vs. Larry Bird,4,United States
Nora,Nguyen,15,Female,3.1,The Immortal,3,Portugal
Fabian,Turner,13,Male,3.0,Harry Potter and the Half-Blood Prince,3,United States
Alfred,Evans,36,Male,3.7,Shank 2,4,Slovenia
Valentin,Ramirez,33,Male,3.3,Tiger Woods PGA Tour 07,3,United States
Julien,King,14,Male,3.2,The Sims Medieval,3,Croatia
Jonas,Morales,38,Male,3.7,Rock Band 3,3,Russia
Antonio,Allen,17,Male,4.0,Triple Play 2001,4,Austria
Elena,Roberts,16,Female,3.0,FIFA Street 2,3,Slovakia
Jacob,Phillips,19,Male,4.0,Chuck Yeager's Advanced Flight Trainer 2.0,3,Slovakia
Peter,Lee,16,Male,4.0,Make Your Own Murder Party,3,China
Fabio,Cook,12,Male,3.8,The Sims Bustin' Out,4,Poland
Elias,Ramos,17,Male,3.6,FIFA 06,4,China
Alex,Garcia,14,Male,3.0,Madden NFL 07,3,Russia
Alexander,Torres,16,Male,3.0,Burnout 3: Takedown,4,Slovenia
Grace,King,19,Female,3.7,Need for Speed: Nitro,5,Portugal
Tom,Bailey,16,Male,4.0,The Simpsons Arcade,5,Austria
Mila,Williams,19,Female,3.1,Hasbro Family Game Night 2,4,Slovenia
Emanuel,Thompson,14,Male,3.0,Fight Night Round 4,3,Portugal
Oscar,Reed,14,Male,3.8,Hellgate: London,3,Slovakia
Antonio,Moore,13,Male,3.1,FIFA 18,3,Slovakia
Luca,Edwards,15,Male,3.1,Madden NFL 06,4,France
Benedikt,Evans,15,Male,3.7,Comanche 4,5,China
Nico,Smith,14,Male,3.0,Tiger Woods PGA Tour 2001,4,Norway
Jasper,Ramos,17,Male,3.7,NCAA Football 07,4,Uzbekistan
Luca,Cook,18,Male,3.0,Imperium,4,China
Tobias,Martinez,53,Male,3.1,F1 Championship Season 2000,3,Russia
Jannis,Gonzalez,18,Male,3.6,Need for Speed,5,Russia
Jonas,Clark,15,Male,3.2,FIFA Football 2004,3,Moldova
Mario,Young,36,Male,3.9,The Sims 2 Stuff packs,4,Slovenia
Harper,Reed,15,Female,4.0,One on One: Dr. J vs. Larry Bird,3,Spain
Tommy,Reed,16,Male,3.0,College Football USA 97,3,Monaco
Tim,Morales,17,Male,4.0,Rock Band 3,5,North Macedonia
Lars,Howard,16,Male,3.7,Jane's Combat Simulations: AH-64D Longbow: Flash Point Korea,4,Latvia
Fabian,Walker,15,Male,3.8,NCAA Football 10,5,Vatican City
Henry,Morgan,14,Male,4.0,FIFA 97[p],4,Latvia
Jasmine,Jones,19,Female,3.3,Dragon Age: Origins – Awakening,3,Russia
Milo,Adams,17,Male,4.0,Battlefield 2142: Northern Strike,3,Cyprus
Emily,Cooper,16,Female,3.0,Trenches 2,3,Russia
Bastian,Green,18,Male,3.6,Space Hulk: Vengeance of the Blood Angels,4,Switzerland
Lacey,Gomez,17,Female,3.4,FIFA: Road to World Cup 98,3,Ukraine
Levin,Davis,14,Male,3.7,Madden NFL 2003,4,San Marino
Kai,Nelson,12,Male,3.0,FIFA 97[p],4,Tajikistan
Emil,Flores,13,Male,3.3,NHL 2005,4,Estonia
Nicolas,Walker,12,Male,3.0,MySims Agents,4,Slovakia
Julia,Stewart,15,Female,3.0,FIFA 23,4,Estonia
Alfred,Martinez,15,Male,3.0,Need for Speed: Undercover,4,Moldova
Valentin,Morgan,19,Male,3.7,Need for Speed: Hot Pursuit Remastered,3,China
Violet,Mitchell,19,Female,3.9,The Godfather: The Game,4,Spain
Delilah,Ortiz,17,Female,3.3,NCAA Football 07,5,United Kingdom
Jasper,Cook,14,Male,4.0,Rugby 2005,5,United States
Jannik,Gonzalez,14,Male,3.7,Bill Walsh College Football,3,San Marino
Oskar,Stewart,14,Male,3.8,Rory McIlroy PGA Tour,5,Italy
Finn,Phillips,13,Male,4.0,Madden NFL 21 Mobile,3,Portugal
Leander,Edwards,14,Male,3.4,Dungeon Keeper Mobile,3,Luxembourg
Benedikt,Hernandez,35,Male,3.4,Spore Creatures,4,Russia
Thomas,Collins,15,Male,3.0,007: Nightfire,4,Malta
Christian,Scott,16,Male,3.7,FIFA 97[p],3,Turkey
Gustav,Rivera,18,Male,4.0,NHL 20,3,Russia
Michael,Nelson,14,Male,3.2,F1 Championship Season 2000,3,Croatia
Gabriel,Williams,17,Male,3.0,Brain Training for Dummies,4,Albania
Leopold,Phillips,15,Male,3.8,FIFA Football 2005,3,Monaco
Fabio,Rodriguez,15,Male,4.0,EA Sports MMA,5,Russia
Fabio,Sanchez,14,Male,4.0,SimCity Deluxe,2,Russia
Megan,Green,12,Female,3.3,F1 22,4,Italy
Summer,Wilson,14,Female,4.0,Tiger Woods PGA Tour 2004,4,Belarus
Milo,Diaz,14,Male,3.6,NBA Live 08,3,Russia
Kevin,Rodriguez,61,Male,3.7,Harry Potter and the Goblet of Fire,3,Russia
Leonardo,Reyes,14,Male,3.1,Dungeon Keeper Mobile,4,North Macedonia
Karl,Johnson,15,Male,3.4,EA Sports FIFA Superstars,4,Iceland
Kai,Martin,17,Male,3.0,Kings of the Beach,3,Russia
Hannes,Lopez,54,Male,3.9,Golden Oldies Volume 1: Computer Software Classics,4,Netherlands
Paul,Diaz,19,Male,4.0,Escape from Monster Manor,2,Serbia
Noah,Taylor,14,Male,4.0,Apex Legends,5,Russia
Holly,Reed,20,Female,4.0,Diablo,2,Uzbekistan
Alexander,Gutierrez,56,Male,3.0,Boggle,4,Norway
Aria,Carter,17,Female,3.0,Majestic,4,Russia
Nova,Garcia,15,Female,3.5,NHL 99,3,Poland
Sebastian,Sanchez,16,Male,3.2,NASCAR 2000,1,Portugal
Jakob,Young,18,Male,3.0,Boulder Dash: Rocks!,3,Bosnia and Herzegovina
Louis,Lopez,15,Male,4.0,FIFA 10,3,Poland
Natalie,Walker,57,Female,4.0,Front Office Football 2001,4,North Macedonia
Benedikt,Moore,16,Male,3.6,Supercross 2000,4,Poland
Hannah,Mitchell,10,Female,3.7,Unravel Two,2,Kazakhstan
Ethan,Turner,15,Male,3.2,Madden NFL 2005,2,Belarus
Samuel,Murphy,51,Male,3.7,FIFA 99,4,United Kingdom
Oskar,Howard,17,Male,4.0,NHL 17,3,Canada
Roman,Jones,15,Male,3.6,Play the Games Vol. 1,4,Austria
Florian,Thompson,16,Male,3.2,Harry Potter and the Deathly Hallows – Part 1,4,Canada
Lucas,Williams,17,Male,3.0,Earl Weaver Baseball,5,Belgium
Fabio,Taylor,64,Male,3.7,Starflight 2: Trade Routes of the Cloud Nebula,1,Ukraine
Lily,Baker,14,Female,4.0,Need for Speed: Carbon,3,Norway
Tommy,Diaz,14,Male,3.5,The Sims 2: Pets,3,Russia
Marina,Nelson,16,Female,4.0,Left 4 Dead 2[p],4,Kazakhstan
Jasper,Rogers,16,Male,3.3,Battlefield 3,3,Spain
Fabian,Smith,16,Male,3.7,Rugby World Cup '95,4,Poland
Erik,Baker,12,Male,4.0,Superbike 2001,1,Romania
Oskar,Wright,17,Male,3.7,FIFA Manager 08,3,United States
Jakob,Roberts,15,Male,3.4,Alone in the Dark 2[m],3,United Kingdom
Fabian,Diaz,32,Male,4.0,Command & Conquer 3: Tiberium Wars,3,Sweden
Samuel,Johnson,13,Male,4.0,EA Sports PGA Tour,3,United States
Julien,Kelly,16,Male,3.9,Kessen[b],3,United States
Hannes,Brown,15,Male,3.7,Madden NFL 2001,3,Moldova
Lennard,Campbell,13,Male,3.8,Madden NFL 2002,4,Russia
Leander,Ramirez,14,Male,4.0,NBA Jam,2,Slovakia
Dominik,Torres,16,Male,3.0,Knockout City,1,Portugal
Imogen,Garcia,13,Female,3.0,NHL 2005,4,Luxembourg
Molly,Jones,18,Female,3.0,Need for Speed: No Limits,4,Switzerland
Bella,Mitchell,16,Female,4.0,Harry Potter and the Half-Blood Prince,3,Turkey
Luna,Cruz,19,Female,4.0,Black & White,3,Russia
Stefan,Roberts,17,Male,4.0,Knockout Kings 2002,5,Romania
Tobias,Jackson,17,Male,3.8,Hasbro Family Game Night 3,3,Slovakia
Jannik,Evans,18,Male,4.0,The Sims 4: Parenthood,4,Russia
Ivy,Ramos,14,Female,3.3,Madden NFL 21,4,Iceland
Julian,Kelly,16,Male,3.8,Sid Meier's Alpha Centauri,3,China
Lennard,Martinez,16,Male,3.4,Plants vs. Zombies: Garden Warfare 2,3,Croatia
Markus,Jackson,14,Male,4.0,Archon: The Light and the Dark,3,United States
Anton,Garcia,18,Male,3.6,FIFA 11,3,Poland
Oscar,Morales,35,Male,3.3,The Godfather: The Game,4,China
Hannes,Miller,15,Male,4.0,Medal of Honor: Vanguard,3,China
Marcel,Miller,10,Male,3.3,Madden NFL 08,3,Iceland
Eliza,Scott,17,Female,3.0,Spore Creatures,4,China
Gustav,Rivera,15,Male,3.0,FIFA 15,4,Monaco
Nicolas,Wright,13,Male,3.0,SimCity: BuildIt,4,Turkey
Samuel,Adams,18,Male,3.0,Medal of Honor: Frontline,3,Finland
Valentin,Flores,19,Male,4.0,FIFA 23,4,Russia
Kai,Edwards,14,Male,3.4,Warhammer: Dark Omen,3,Norway
Julian,Bailey,14,Male,3.1,Crysis 3,3,United States
Henry,Rodriguez,14,Male,3.9,PHM Pegasus,5,Netherlands
Marcel,Rivera,14,Male,3.5,Rail Simulator,4,Switzerland
Leah,Hernandez,14,Female,3.0,SimCity 3000,3,Slovakia
Angelina,Carter,15,Female,3.9,Burnout Crash!,1,France
Jakob,Lewis,17,Male,3.0,FIFA Soccer 95,4,Monaco
Alice,Cruz,18,Female,3.3,Crusader: No Remorse,5,Slovakia
Antonio,Martinez,14,Male,4.0,FIFA 20,4,Cyprus
Daniel,Lewis,15,Male,3.0,MVP 06: NCAA Baseball,3,Greece
Emanuel,Morgan,19,Male,3.2,Aaargh![b],2,Belarus
Leonardo,Rivera,70,Male,3.0,NCAA Football 09,3,Turkmenistan
Florian,Peterson,19,Male,3.5,Medal of Honor: European Assault,4,North Macedonia
Julien,Diaz,70,Male,3.1,The F.A. Premier League Football Manager 2000,4,Ireland
Simon,Allen,15,Male,3.6,Populous,4,United States
Daniel,Clark,13,Male,3.0,DeathSpank,4,China
Julian,Bailey,17,Male,3.7,Alone in the Dark 2[m],3,China
Leila,Clark,16,Female,3.3,CyberTiger,3,Spain
Paul,Mitchell,17,Male,3.0,Fatal Rewind,4,Hungary
Paul,Wright,17,Male,3.5,Command & Conquer: Red Alert 3 – Uprising,3,Montenegro
Jonah,Gutierrez,14,Male,3.6,FIFA International Soccer,3,China
Luna,Phillips,15,Female,4.0,Battlefield 2042,4,Moldova
Tobias,Jackson,16,Male,3.5,Shaq Fu,4,Norway
Dylan,Green,36,Male,3.8,Galahad,5,Netherlands
Oskar,Perez,16,Male,3.5,Skate 2,1,Slovenia
Jonah,Turner,15,Male,3.2,EA Sports Active 2,3,Iceland
Oscar,Johnson,17,Male,3.7,Lost in Random,5,Kazakhstan
Paul,Smith,64,Male,3.8,The Sims 3,3,Albania
Benjamin,Phillips,10,Male,4.0,The Lord of the Rings: The Return of the King,4,Russia
Sadie,Gonzalez,11,Female,3.8,Battlefield Bad Company 2,4,Kazakhstan
Sebastian,Morgan,17,Male,3.1,The Sims,4,Canada
Elias,Nelson,14,Male,3.6,Need for Speed: Underground,1,United States
Rafael,Diaz,18,Male,3.3,Zuma's Revenge!,4,Netherlands
Julius,Miller,16,Male,3.8,NFL Street 3,4,Tajikistan
Philipp,Taylor,15,Male,3.9,FIFA 97[p],3,Ukraine
Valentin,Sanchez,11,Male,3.5,Madden NFL Social,5,China
Jonas,Carter,21,Male,3.8,EA Sports WRC,2,China
Taylor,Carter,15,Female,3.8,DeathSpank,4,Bulgaria
Amelia,Brown,14,Female,3.9,Harry Potter and the Order of the Phoenix,3,Latvia
Morgan,Morales,14,Female,4.0,Lost in Random,5,Netherlands
Mario,Collins,46,Male,3.0,Starflight 2: Trade Routes of the Cloud Nebula,3,Iceland
Sophie,Roberts,16,Female,3.0,Timothy Leary's Mind Mirror,3,Russia
Tim,Lewis,18,Male,4.0,FIFA 15,4,Russia
Valentin,Rodriguez,17,Male,3.7,Lords of Conquest,2,Monaco
Emilio,Jones,17,Male,3.8,Tiger Woods PGA Tour 10,3,Ukraine
Sienna,Walker,39,Female,3.7,Need for Speed Rivals,3,China
Maximilian,Roberts,14,Male,3.4,NASCAR 99,3,United Kingdom
Paul,Phillips,15,Male,3.7,EA Sports Active 2,4,Germany
Adrian,King,16,Male,3.5,The Sims 3: Ambitions,3,Vatican City
Lukas,Adams,16,Male,3.1,Catwoman,3,San Marino
Dylan,Thompson,18,Male,3.6,FIFA Football 2002,1,Serbia
Ruby,Allen,14,Female,3.5,Pinball Construction Set,5,Norway
Benedikt,Turner,16,Male,4.0,The Lord of the Rings: The Two Towers,2,Bosnia and Herzegovina
Christian,Gomez,15,Male,3.0,FIFA World,4,Kazakhstan
Jan,King,14,Male,4.0,The Sims 3: Generations,1,Belarus
Leonard,Harris,15,Male,3.3,Fuse,2,Uzbekistan
Lea,Miller,16,Female,3.4,Triple Play 2001,4,Kazakhstan
Fabian,Cruz,15,Male,3.1,Andretti Racing,3,China
Hannah,Anderson,14,Male,3.8,Soviet Strike,4,Montenegro
Jasper,Morales,16,Male,3.9,American McGee's Alice,4,United States
Erik,Perez,13,Male,4.0,FIFA 11,4,Monaco
Jannis,Roberts,16,Male,3.7,UEFA Champions League 2004–2005,4,Austria
Louis,Ramirez,15,Male,3.8,Need for Speed: Most Wanted,4,Monaco
Rose,Davis,15,Female,3.0,Madden NFL 2004,1,United States
Anya,Cooper,16,Female,4.0,Darklight Conflict,3,China
Charlotte,Thompson,16,Female,3.0,Real Racing 2,3,Albania
Maksim,Gonzalez,14,Male,3.8,Madden NFL 24,4,Uzbekistan
Antonio,Davis,15,Male,3.0,Cyberia,4,United States
Marco,Hall,13,Male,4.0,NBA Live 08,4,Spain
Tommy,Williams,10,Male,3.7,Madden NFL Arcade,3,Netherlands
Molly,Ramirez,14,Female,3.5,SimCity Social,5,Iceland
Ava,Stewart,15,Female,3.2,The Godfather II,4,Slovenia
Mateo,Rodriguez,17,Male,4.0,Pet Society,3,Serbia
Bella,Morgan,18,Female,3.1,The Simpsons: Road Rage,4,United States
Samuel,Thomas,13,Male,3.7,Jungle Strike,2,Cyprus
Catherine,Nelson,15,Female,3.8,Jane's Combat Simulations: Attack Pack,3,China
Paul,Murphy,17,Male,3.6,Bulletstorm,4,Kazakhstan
Leila,Torres,16,Female,3.3,Risk: Factions,5,Portugal
Sofia,Bailey,16,Female,3.0,Earl Weaver Baseball,3,Belarus
Leon,Martin,13,Male,3.6,Medal of Honor: Pacific Assault (Director's Edition DVD),4,United States
Luca,Campbell,15,Male,4.0,SimCity 4,3,Spain
Raphael,Brown,46,Male,3.7,Create,4,China
Florian,Davis,35,Male,3.2,Fade to Black,1,Hungary
Aisha,Torres,17,Female,3.7,Madden NFL 18,1,Germany
Dylan,Thomas,15,Male,3.0,Crysis 2,5,Cyprus
Hannes,Thompson,57,Male,3.6,Jane's Combat Simulations: Advanced Tactical Fighters – Nato Fighters,3,Russia
Paul,White,43,Male,3.5,FIFA 08,2,Slovenia
Paul,Morales,15,Male,4.0,Powermonger,5,Kazakhstan
Fabian,Ramos,12,Male,4.0,FIFA 13,3,Germany
Emil,Scott,14,Male,4.0,Dungeon Keeper 2,5,Slovakia
Louis,Diaz,14,Male,3.2,Dragon Age: Dreadwolf,3,Switzerland
Emanuel,Wilson,16,Male,3.0,Create,3,United States
Iris,Gomez,15,Female,3.9,The Sims 2 Stuff packs,4,Italy
Nikolai,Carter,16,Male,3.6,NASCAR Rumble,3,Russia
Jonathan,Cook,14,Male,4.0,Plants vs. Zombies: Battle for Neighborville,5,Switzerland
Elias,Williams,14,Male,3.0,2014 FIFA World Cup Brazil,3,China
Sam,Roberts,37,Male,4.0,Iron Force 2,3,Luxembourg
Noah,Adams,18,Male,3.0,Tiger Woods PGA Tour 06,4,Croatia
Mateo,Sanchez,16,Male,4.0,The Sims 4: For Rent,2,Russia
Jannik,Hernandez,15,Male,4.0,B.O.B.,3,Kyrgyzstan
Zara,Gonzalez,15,Female,3.5,Championship Bass,2,Tajikistan
Philipp,Sanchez,16,Male,3.0,Army of Two: The 40th Day,4,Ukraine
Isabel,Cruz,15,Female,3.3,Arcticfox,4,Serbia
Sienna,Green,16,Female,4.0,Powerdrome,4,United States
Tobias,Lewis,17,Male,3.9,Need for Speed: The Run,3,Turkey
Gabriel,Davis,17,Male,4.0,MySims,2,Cyprus
Christian,Carter,17,Male,3.0,Starflight 2: Trade Routes of the Cloud Nebula,4,Croatia
Valentin,Collins,18,Male,3.5,SSX 3,4,Slovenia
Aisha,Evans,18,Female,3.6,The Laptop Collection,2,Italy
Samuel,Murphy,15,Male,3.1,NBA Live 99,3,Monaco
Jonathan,Hernandez,15,Male,3.9,NBA Live 97,3,United Kingdom
Alex,Hall,15,Male,4.0,Warhammer Online: Age of Reckoning,4,China
Maksim,Ramos,11,Male,3.7,007: From Russia with Love,3,San Marino
Ethan,Parker,15,Male,3.6,FIFA 10,3,United States
Benjamin,Hernandez,17,Male,3.5,Shift 2: Unleashed,3,Kazakhstan
Marius,Cooper,16,Male,3.0,Genewars,3,Russia
Emil,Thomas,18,Male,4.0,The Sims 4: Realm of Magic,4,Russia
Julian,Edwards,38,Male,3.0,Fight Night Round 2,4,Liechtenstein
Nathan,Smith,18,Male,3.6,NBA Live 99,3,Monaco
Karl,Williams,16,Male,3.9,NHL 2000,3,Denmark
Amelia,Morgan,19,Female,4.0,Dragon Age: Inquisition,3,Poland
Chloe,Gutierrez,19,Female,4.0,Madden NFL 11,3,Austria
Leopold,Sanchez,16,Male,3.0,Plants vs. Zombies Heroes,4,Ukraine
Dominic,Hernandez,16,Male,3.0,Risky Woods,5,Finland
Emanuel,Sanchez,17,Male,4.0,The Need for Speed,4,Romania
Noah,Jones,15,Male,3.7,The Sims 4: Growing Together,3,Iceland
Rose,Lee,17,Female,3.5,Battleship,2,Ukraine
Maximilian,Howard,68,Male,3.5,Madden NFL 98,4,Netherlands
Aria,Flores,16,Female,3.2,Triple Play 98,1,Russia
Elena,Rivera,19,Female,3.5,Harry Potter and the Sorcerer's Stone,3,Portugal
Alfred,Scott,14,Male,3.0,World Tour Golf,4,Uzbekistan
Lukas,Martin,18,Male,4.0,Battlefield 2042,4,Montenegro
Eden,Cruz,15,Female,3.4,Rugby 08,1,Ireland
Tim,Jackson,15,Male,3.6,Nerf N-Strike Elite,3,Monaco
Marco,Evans,14,Male,4.0,NBA Live 14,3,Monaco
Dominic,Walker,17,Male,4.0,SSX 3,3,Lithuania
David,Moore,15,Male,3.3,The Simpsons Arcade,4,United States
Milo,Anderson,16,Male,3.1,Electronic Arts Top Ten Family Fun Pack,2,Liechtenstein
Matteo,Morales,12,Male,4.0,NHL 22,5,United States
David,Perez,15,Male,3.7,NBA Live 18,3,Serbia
Jannik,Reed,17,Male,3.8,The Sims Medieval,4,Montenegro
Emanuel,Ramirez,17,Male,3.5,Earth Orbit Stations,3,Portugal
Robin,Wright,14,Male,3.5,Space Hulk: Vengeance of the Blood Angels,3,North Macedonia
Leah,Miller,14,Female,4.0,Arena Football,4,Kazakhstan
Filip,Roberts,16,Male,3.9,Need for Speed: Undercover,4,China
Aaron,Bailey,17,Male,3.3,SSX Tricky,4,United States
Bella,Nelson,16,Female,4.0,Surviving High School,4,Czech Republic
Finn,Ramirez,15,Male,3.9,F1 23,3,Germany
Ethan,Ortiz,14,Male,3.4,Need for Speed: Porsche Unleashed,4,Serbia
Dylan,Lee,18,Male,4.0,Dragon Age II,5,Netherlands
Ava,Jackson,16,Female,3.0,Madden NFL 2000,4,Liechtenstein
Finn,Jones,18,Male,4.0,Shogun: Total War - The Mongol Invasion,3,United States
Ethan,Lee,15,Male,3.1,Madden NFL 11,2,Canada
Lennard,Nelson,17,Male,4.0,Command & Conquer: Theater of War,4,Russia
Sofia,Hill,16,Female,4.0,Cyberia,4,Hungary
Emily,Brown,15,Female,3.3,UEFA Euro 2012,2,Uzbekistan
Lydia,Lopez,19,Female,3.5,Triple Play Baseball '96,1,Malta
Elias,Scott,15,Male,3.0,Boom Boom Rocket,4,Bulgaria
Daniel,Green,20,Male,4.0,The Godfather II,3,Russia
Luca,Adams,17,Male,3.6,Chuck Yeager's Air Combat,1,North Macedonia
Marcel,Lee,17,Male,3.7,EA Sports UFC 5,5,Germany
Fabio,Smith,16,Male,3.1,NBA Live 06,5,United States
Kilian,Stewart,14,Male,3.0,Chuck Yeager's Advanced Flight Trainer,3,Kazakhstan
Ella,Adams,17,Female,3.2,Archon: The Light and the Dark,4,Norway
Mateo,Howard,13,Male,3.5,Madden NFL 2000,4,China
Christian,Lopez,15,Male,4.0,Madden NFL 23,4,Netherlands
